,CIE_SA_Dedicated,CIE_SA_Flexible,CIE_SA_MSSA,CIE_SA_MSSA_Adaptive,CIE_SA_MSSA_Inner,Flexible_Dedicated,MSSA_Adaptive_Dedicated,MSSA_Adaptive_Flexible,MSSA_Dedicated,MSSA_Flexible,MSSA_Inner_Dedicated,MSSA_Inner_Flexible,MSSA_Inner_MSSA_Adaptive,MSSA_MSSA_Adaptive,MSSA_MSSA_Inner
20,-77.75398268174754,-10.609315096110935,2.859308863966038,2.859308863966038,0.0,-60.704351642800695,-82.98612106107448,-13.865069110138169,-82.98612106107448,-13.865069110138169,-77.75398268174754,-10.609315096110935,2.859308863966038,0.0,-2.9434718144653886
21,-165.37759832861798,-112.47922559020385,0.0,-0.1418003896605966,-0.0595672773818832,-24.895785736924733,-165.0018247085735,-112.17835585482626,-165.37759832861798,-112.47922559020385,-165.21961422534116,-112.3527328487998,-0.08218415741370282,-0.1418003896605966,-0.0595672773818832
22,-30.550857160700044,-59.96891827512615,8.61352224816783e-13,-0.7428375924509112,0.0,18.389860625193947,-29.588227094451796,-58.7893711335299,-30.550857160701167,-59.96891827512752,-30.550857160700044,-59.96891827512615,-0.7428375924509112,-0.7428375924517789,-8.613522248167904e-13
23,-65.72154941317042,-9.635800090738124,-0.6234691886702174,-4.020659540122391,-4.211949436047848,-51.156419049264855,-59.31599563570257,-5.398101276650611,-64.69472852545017,-8.95648994686287,-59.023557576637984,-5.204634098145099,0.18355850452912537,-3.376141151605895,-3.566245803599941
24,-43.44522538866836,-48.423621504682934,0.0,-1.292394728800522,1.449286930426893,3.3541804636922317,-41.61500058590529,-46.529877096963894,-43.44522538866836,-48.423621504682934,-45.55473108287041,-50.60633949944272,-2.7820008337148106,-1.292394728800522,1.449286930426893
25,-270.4688357100394,1.5942104324170818,9.60215020190228,1.5942104323365085,9.60215020190228,-276.47056879271275,-276.47056879240444,8.18786400024481e-11,-309.82040672148304,-8.858551157323781,-309.82040672148304,-8.858551157323781,-8.858551157412913,-8.858551157412913,0.0
26,-58.236912446089065,-26.657905410198868,-2.462741855511554e-13,-5.512494136770356,-2.462741855511554e-13,-24.932519556215052,-49.96983413260499,-20.040670487818073,-58.23691244608867,-26.657905410198556,-58.23691244608867,-26.657905410198556,-5.512494136770097,-5.512494136770097,0.0
27,-56.847876868033936,-79.13116974414412,1.7732240079017842,-0.30159150264225665,-1.8108026234435075,12.439651294600361,-56.376259357661404,-78.59254978962646,-59.67934942774814,-82.36490807613822,-54.05818717307439,-75.94515034585967,1.482368355726656,-2.11227080354439,-3.6487267296990447
28,-79.4242590749344,-63.36838987897806,1.5309616242865028e-13,-2.789925758085999,0.0,-9.828014591960168,-74.55432305419282,-58.934242508806015,-79.42425907493468,-63.368389878978306,-79.4242590749344,-63.36838987897806,-2.789925758085999,-2.7899257580861563,-1.5309616242865053e-13
29,-134.1939495345736,3.0256553354711184,5.3104852471266035,3.025655335423104,5.3104852471266035,-141.50093547395392,-141.50093547383437,4.951224707780269e-11,-147.32828143199126,-2.412970345891598,-147.32828143199126,-2.412970345891598,-2.412970345942305,-2.412970345942305,0.0
30,-25.469430888440236,-15.015098485915194,0.17809203550967032,-4.067210681291624,0.0,-9.089530453086805,-20.565767129757553,-10.520016567131547,-25.69328061037814,-15.22029665755291,-25.469430888440236,-15.015098485915194,-4.067210681291624,-4.252876751575894,-0.17840976909900683
