case_id,running_time,total_cost,holding_cost,penalty_cost,machine_cost,skill_cost,best_cluster,bestS,bestEBO,bestServerAssignment,GAP,GAPoolingPercentGAP,num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock
Case: 0087,2352.68600010872,867775.941437312,53569.7329982146,14206.2084390969,600000,200000,"[[7, 11, 13, 14], [2, 4, 10, 20], [5, 9, 12, 15, 16, 19], [1, 3], [17], [6, 8, 18]]","[[7, 1, 2, 3], [2, 5, 5, 5], [2, 3, 7, 2, 10, 7], [19, 8], [17], [4, 2, 7]]","[[0.033002646085638396, 0.005219230281072939, 0.01709606018181358, 0.006869721607565561], [0.00798580381555037, 0.02605082192915843, 0.04016858174167154, 0.017444137243508323], [0.004329917360069724, 0.046063303440047505, 0.007184080481210133, 0.00906916558289265, 0.046762781736769676, 0.01734338980430926], [0.04076093314949698, 0.02787438528245332], [0.11360245894039574], [0.05230623902967899, 0.006948205004044467, 0.026593989095464364]]","[1, 1, 1, 1, 1, 1]",-32928.1923029033,-3.65582782063711,6,6,1,3.33333333333333,16.6666666666667,118
Case: 0088,2273.40799999237,1223011.35482003,96347.1472435869,26664.2075764453,900000,200000,"[[1, 7], [6, 8], [3, 10], [2, 4, 5, 9]]","[[25, 9], [5, 35], [43, 43], [7, 3, 10, 2]]","[[0.03355445455077481, 0.0836211004961432], [0.01927143393328328, 0.15057964170307284], [0.4137565565548682, 0.15069521995177856], [0.07255241164920521, 0.022414466729926936, 0.053985302743913624, 0.024537462588406687]]","[1, 4, 3, 1]",-40290.5884471103,-3.18930788176507,4,9,2.25,2.22222222222222,22.2222222222222,182
Case: 0089,1483.007999897,631233.280532609,24922.4343944148,6310.84613819405,500000,100000,"[[2, 7], [1], [3, 5], [4, 6, 8, 10], [9]]","[[3, 21], [3], [27, 13], [2, 9, 4, 2], [33]]","[[0.00772330255509628, 0.03662643800724836], [0.006006397792350804], [0.0562748580208826, 0.0236556761030972], [0.048874206958930556, 0.06214600511369358, 0.007351290010457235, 0.00772572916034908], [0.015609024898068254]]","[1, 1, 1, 1, 1]",-30986.5426728323,-4.67919285817261,5,5,1,2,20,117
Case: 0090,9626.91199994087,1169688.82545189,39194.125324994,10494.7001268999,900000,220000,"[[5, 8, 15], [1, 9, 18], [2, 14, 16, 19], [7], [3, 10], [6, 11, 12, 17], [20], [4, 13]]","[[7, 3, 12], [5, 6, 9], [5, 1, 3, 2], [3], [21, 33], [4, 3, 3, 5], [20], [1, 21]]","[[0.04657124834868169, 0.027767075241800547, 0.05115953069451343], [0.020283154893262826, 0.04506933193198498, 0.0393034146880535], [0.018066748025364766, 0.011758521256407119, 0.020922644408954867, 0.012890103638083376], [0.01032820326807512], [0.02318754003440308, 0.03392126458203037], [0.02296312604366593, 0.018817391024713057, 0.06430106545132555, 0.020988922262952913], [0.039415379897769755], [0.011184106288979465, 0.05021624515316421]]","[1, 1, 1, 1, 2, 1, 1, 1]",-347490.319762851,-22.9037105379976,8,9,1.125,2.44444444444444,12.2222222222222,167
Case: 0091,1957.1819999218,532690.147466547,13631.6870618248,3058.46040472166,500000,16000,"[[8, 9], [1, 2, 6, 7], [3, 4, 5, 10]]","[[12, 16], [1, 11, 1, 4], [8, 3, 11, 8]]","[[0.025277692298861554, 0.012010053757802078], [0.015521915668532456, 0.07804436909098438, 0.01262722532938262, 0.01901345818707487], [0.015063633951795071, 0.018227606663858996, 0.039166599937465844, 0.019214532811220954]]","[2, 1, 2]",-335.54429782473,-0.062950867661565,3,5,1.66666666666667,3.2,32,75
Case: 0092,8500.21200013161,1093895.12844757,51627.6860746163,14267.4423729506,1000000,28000,"[[6, 13], [15, 16], [5, 9, 11], [3, 4], [2, 7, 10, 12, 14, 18, 20], [17], [1, 8, 19]]","[[36, 10], [6, 15], [9, 22, 24], [2, 28], [1, 5, 0, 4, 2, 1, 2], [20], [6, 23, 4]]","[[0.03882542193675642, 0.02606013040087619], [0.02668795005217202, 0.02411533014292609], [0.04440894604539477, 0.029774459843798284, 0.015150075060731133], [0.011560705628066104, 0.16167317623565153], [0.02045839911188976, 0.01660589156406224, 0.013239746400999897, 0.030663668187537046, 0.054154427719814026, 0.01833791325496683, 0.014703559253911105], [0.026902753936404716], [0.03364212307112033, 0.04647108765028436, 0.027028220552768985]]","[2, 1, 3, 1, 1, 1, 1]",-8404.23539137724,-0.762427673196514,7,10,1.42857142857143,2.8,14,220
Case: 0093,6396.88300013542,746557.077617731,36785.6032276502,9771.47439008035,500000,200000,"[[2, 6, 7, 10, 11, 12, 13], [17], [1, 9, 15], [3, 4, 8], [5, 14, 16, 18, 19, 20]]","[[1, 1, 1, 1, 2, 2, 2], [12], [50, 16, 4], [2, 10, 3], [2, 1, 1, 2, 2, 2]]","[[0.01470205492706056, 0.006982843954435465, 0.012233295480449536, 0.004621694477715432, 0.014798623345636619, 0.014513390167386495, 0.005134580723220632], [0.021776679959376596], [0.08238362760770347, 0.030791319000724415, 0.039577894119433424], [0.02218514073966614, 0.018818834614309804, 0.005791519135162902], [0.007164927256097502, 0.0036540816029722394, 0.01790590793848943, 0.010025860735152546, 0.014869180884247853, 0.00721775132144485]]","[1, 1, 1, 1, 1]",-122579.58555858,-14.1036031215857,5,5,1,4,20,117
Case: 0094,1153.85099983215,1009961.79920713,39384.3873938887,10577.4118132432,800000,160000,"[[3], [1, 2, 6, 8, 9, 10], [4], [5, 7]]","[[30], [5, 4, 1, 6, 2, 1], [21], [19, 27]]","[[0.03042575893853744], [0.0348651605312439, 0.03634137172349739, 0.008362641359752733, 0.08744213053601334, 0.00515992805028095, 0.0031037408365205544], [0.04593491929539578], [0.027231900777636615, 0.04300955816598168]]","[3, 1, 1, 3]",-74960.7299939147,-6.90931637755895,4,8,2,2,20,116
Case: 0095,7970.56599998474,655958.056214064,27326.4771657245,8631.57904833892,600000,20000,"[[18], [6, 13, 15, 16], [4, 17], [2, 5], [14, 20], [1, 3, 7, 8, 9, 10, 11, 12, 19]]","[[5], [3, 8, 1, 1], [17, 7], [10, 19], [9, 17], [1, 1, 1, 1, 1, 1, 1, 1, 0]]","[[0.015394281686095187], [0.007079248137413368, 0.018831313906121923, 0.024940031217329274, 0.024613933357377334], [0.01838403792795733, 0.02579071338794894], [0.017060313966460076, 0.035456051085267684], [0.017903909987385558, 0.021063469646336146], [0.00534211586410996, 0.0034019166172587745, 0.023288866383814007, 0.004426243398829022, 0.007682232424162821, 0.010104222949188701, 0.01658875739431925, 0.005529088698206004, 0.03149592955903203]]","[1, 1, 1, 1, 1, 1]",50754.4810921625,8.38634852445138,6,6,1,3.33333333333333,16.6666666666667,105
Case: 0096,2689.88700008392,1002599.76682135,63956.5406867472,16643.2261346001,900000,22000,"[[2, 5, 7, 9, 10], [4, 6], [8], [1, 3]]","[[18, 31, 10, 7, 7], [29, 23], [48], [25, 14]]","[[0.055727702148762534, 0.14258825490626845, 0.1491955268616957, 0.019318946761741035, 0.0845058017310749], [0.049956401331731556, 0.037238863935900195], [0.06509949821815351], [0.042894667393376995, 0.06755457701176551]]","[2, 3, 2, 2]",5659.72333729907,0.567709500113949,4,9,2.25,2.44444444444444,24.4444444444444,212
Case: 0097,8629.26900005341,103078.469949005,22675.5979590457,7402.87198995878,70000,3000,"[[1, 6, 11, 13, 14, 16], [2, 12, 19], [4, 5, 9, 10, 15], [3, 8, 17], [7, 18, 20]]","[[2, 1, 1, 2, 2, 2], [2, 2, 4], [328, 152, 27, 102, 190], [5, 1, 2], [2, 2, 2]]","[[0.0035821699439933267, 0.012396305607713536, 0.03100075768379367, 0.005231652374849773, 0.005496686923074802, 0.005530940460400203], [0.0089655558497257, 0.01651018700476796, 0.004631018907544919], [0.45113774277357166, 2.2878823968826234, 0.33773835513026906, 1.2205967408013467, 1.0768052522990312], [0.026964086101152994, 0.003715147125197095, 0.005308222878809735], [0.0192066765049593, 0.048368652369907374, 0.007088317378459319]]","[1, 1, 3, 1, 1]",9656.46266760638,10.3363896244704,5,7,1.4,4.28571428571429,21.4285714285714,831
Case: 0098,4534.73000001907,137449.185005236,26097.515483102,7951.66952213406,100000,3400,"[[1, 3, 4], [6, 9, 10], [2, 5, 7, 8]]","[[3, 4, 4], [4, 51, 10], [6, 4, 6, 3]]","[[0.019049486543434427, 0.02522804288497349, 0.007638132148649443], [0.024002994104582846, 0.0033133213830227925, 0.0935339484168609], [0.029905334843893863, 0.003732162216791954, 0.07515837398587305, 0.039509973888940564]]","[1, 5, 4]",3502.95055295236,2.61519151118819,3,10,3.33333333333333,3.4,34,95
Case: 0099,4946.75300002098,83110.5195651546,13342.4690114714,6768.0505536832,60000,3000,"[[1, 2, 4, 5, 6], [3, 7, 8, 9, 10]]","[[17, 25, 2, 12, 16], [1, 11, 6, 2, 3]]","[[0.08832643276015983, 0.3370133617229859, 0.018127649559446117, 0.3740942650089379, 0.22134043013734292], [0.03621274607985063, 0.017036088417564765, 0.036130722415242955, 0.01789001812806104, 0.014784382695889067]]","[4, 2]",3271.18052935095,4.09720392084409,2,6,3,5,50,95
Case: 0100,13651.0930001736,177961.709869887,40697.1065069045,10764.6033629824,120000,6500,"[[12], [8, 11], [1, 2, 5, 10, 13, 19, 20], [3, 4, 9, 16], [6, 7, 14, 15, 17, 18]]","[[15], [3, 9], [8, 13, 12, 4, 5, 3, 1], [1, 2, 2, 3], [6, 11, 6, 9, 11, 16]]","[[0.019932911812829177], [0.006080584338215727, 0.02125079612179779], [0.0451738723051314, 0.11630878155734072, 0.11142153681200638, 0.007434429106429965, 0.03857124549986887, 0.046436567310587026, 0.018219344829448657], [0.007759845887744413, 0.016030293841516285, 0.008733267139059713, 0.018991171438191585], [0.07024758215823503, 0.10403531756666357, 0.016369698867747657, 0.061083602851215904, 0.06787201364586043, 0.0719402185861411]]","[1, 1, 4, 1, 5]",7239.15346677729,4.24030287461501,5,12,2.4,5.41666666666667,27.0833333333333,140
Case: 0101,4263.10899996758,76529.6431861339,18777.7941677877,5751.84901834624,50000,2000,"[[1, 2, 13, 14, 15, 17], [3, 8, 9], [10, 12, 19], [5, 6, 7, 16, 18, 20], [4, 11]]","[[3, 2, 2, 4, 2, 2], [6, 2, 3], [5, 15, 0], [3, 3, 3, 3, 0, 2], [2, 29]]","[[0.01661463613892801, 0.009510206458566789, 0.00847954031292053, 0.007242922079197977, 0.013467851624786694, 0.015111155066613898], [0.013305094604483616, 0.009402678073441905, 0.0200854188842287], [0.010454623049915882, 0.026360893348456673, 0.03710220023204163], [0.00790496581719267, 0.013959109557831372, 0.028009388800555993, 0.019279192670474128, 0.036938193062564635, 0.01430735445227726], [0.007703033706129507, 0.04029755209870973]]","[1, 1, 1, 1, 1]",7771.43919577358,11.302562813978,5,5,1,4,20,91
Case: 0102,4916.91199994087,102505.159819059,14339.8504154613,4165.30940359729,80000,4000,"[[2, 5, 7, 8, 10], [1, 3, 4, 6, 9]]","[[3, 26, 17, 10, 1], [1, 2, 6, 3, 1]]","[[0.009675188579602813, 0.018688857370405744, 0.009350904161201625, 0.023256021245437776, 0.01739118665011102], [0.014958298080454594, 0.016364328960676768, 0.026170393811252784, 0.05912229656755113, 0.03187990596033454]]","[6, 2]",-3425.92740172306,-3.23410954386104,2,8,4,5,50,70
Case: 0103,1915.82500004768,68990.4484756637,12255.4304525785,4935.01802308511,50000,1800,"[[6, 8, 10], [3, 4, 5], [1, 2, 7, 9]]","[[2, 1, 0], [3, 1, 5], [14, 9, 9, 5]]","[[0.00507210196411861, 0.02289974188256752, 0.04263177564823999], [0.027066525422461823, 0.016840536185951906, 0.02073815003637545], [0.021312108933303688, 0.02475048088176051, 0.02954136182741088, 0.012132707323182706]]","[1, 1, 3]",3690.52681837595,5.65165581322574,3,5,1.66666666666667,3.6,36,49
Case: 0104,16685.4200000763,124038.199025362,22318.6248510043,6519.57417435749,90000,5200,"[[1, 5, 14, 15], [6, 9, 12], [2, 4, 8, 10, 17, 18], [3, 7, 11, 13, 16, 19, 20]]","[[4, 5, 2, 6], [4, 5, 4], [1, 1, 0, 3, 1, 1], [5, 6, 7, 2, 5, 5, 4]]","[[0.011477468431588122, 0.013362511370574013, 0.01898004360156648, 0.014680532649676923], [0.00890694916358701, 0.034154730450410176, 0.023327748648183558], [0.005473061229033123, 0.01366218256359454, 0.02885377712928361, 0.0065584497713640265, 0.010051772457704987, 0.014396983700774338], [0.013610112684312097, 0.012998153625927161, 0.019331232443180187, 0.011301492681626753, 0.006143379174101367, 0.017743562659531597, 0.012919209310029664]]","[2, 1, 1, 5]",-2920.25931385258,-2.30016916718544,4,9,2.25,5.77777777777778,28.8888888888889,71
