algorithm_type,case_id,running_time,total_cost,holding_cost,penalty_cost,machine_cost,skill_cost,GAP,GAPoolingPercentGAP,num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock,Case  ID,n_sku,n_initial_servers,util_rate,cost_hmin,holding_cost_work_load_relation,server_cost,cross_trainnig_cost
CIE_SA,Case: 0027,4172.6740000248,850871.068031432,100677.052369942,24194.01566149,700000,26000,-120407.712096133,-12.3968230913394,3,7,2.33333333333333,3.71428571428571,37.1428571428571,299,27,10,10,0.65,100,HPB,100,0.01
CIE_SA,Case: 0028,4980.38799977303,170010.539342752,24556.5051322024,7454.03421054916,110000,28000,-20311.1551074622,-10.6720125449363,8,11,1.375,2.54545454545455,12.7272727272727,87,28,20,10,0.65,100,HPB,10,0.1
CIE_SA,Case: 0029,1233.89100003243,684365.878165435,51409.507956293,12956.3702091419,500000,120000,3109.0784936219,0.456373939330904,4,5,1.25,2.4,24,183,29,10,5,0.8,100,HPB,100,0.1
CIE_SA,Case: 0030,6008.9509999752,96438.5875633639,18411.9804637262,5226.60709963767,70000,2800,7609.52055970562,8.56647583542923,5,7,1.4,4,20,54,30,20,5,0.8,100,HPB,10,0.01
CIE_SA,Case: 0031,4869.60700011253,144352.093074399,24657.0157172959,6495.07735710276,110000,3200,5441.74768935479,3.91745314164389,4,11,2.75,2.90909090909091,29.0909090909091,120,31,10,10,0.8,100,HPB,10,0.01
CIE_SA,Case: 0032,4769.08899998665,1329323.58146336,79874.901865803,19448.6795975565,1000000,230000,-182292.122865047,-12.0594224010154,8,10,1.25,2.3,11.5,269,32,20,10,0.8,100,HPB,100,0.1
CIE_SA,Case: 0033,13914.4379999638,148351.004485104,25662.5283684972,7688.4761166069,110000,5000,10757.8014466726,7.81855586548695,5,11,2.2,4.54545454545455,22.7272727272727,93,33,20,10,0.8,100,HPB,10,0.01
CIE_SA,Case: 0034,2051.77600002289,1201087.60790145,72603.2208553264,18484.3870461221,900000,210000,-58824.11234732,-4.66890746406464,4,9,2.25,2.33333333333333,23.3333333333333,211,34,10,10,0.8,100,HPB,100,0.1
CIE_SA,Case: 0035,3861.76799988747,849619.854645577,38997.9239029958,10621.9307425808,600000,200000,-31930.9361756754,-3.62213232727391,6,6,1,3.33333333333333,16.6666666666667,152,35,20,5,0.8,100,HPB,100,0.1
CIE_SA,Case: 0036,2806.25800013542,76882.0106419283,18176.2216304194,5605.78901150897,50000,3100,5913.03962620834,8.33186608397995,2,5,2.5,6.2,62,56,36,10,5,0.8,100,HPB,10,0.01
CIE_SA,Case: 0037,5092.25999999046,890663.427326742,51511.8278514445,13151.5994752977,800000,26000,-195032.113100166,-17.9637942533574,6,8,1.33333333333333,3.25,16.25,205,37,20,10,0.65,100,HPB,100,0.01
CIE_SA,Case: 0038,1878.0529999733,145862.317141519,29947.5446819115,8914.77245960715,90000,17000,-6275.90705601539,-4.12513494824736,5,9,1.8,1.88888888888889,18.8888888888889,92,38,10,10,0.65,100,HPB,10,0.1
CIE_SA,Case: 0039,6159.22200012207,108441.591431362,17870.5782562487,8571.01317511294,60000,22000,-10682.3652050833,-8.96743653141482,5,6,1.2,3.66666666666667,18.3333333333333,50,39,20,5,0.65,100,HPB,10,0.1
CIE_SA,Case: 0040,1194.18700003624,498507.741942365,69013.2468292429,18494.4951131215,400000,11000,4129.63702422677,0.835319562728326,3,4,1.33333333333333,2.75,27.5,149,40,10,5,0.65,100,HPB,100,0.01
CIE_SA,Case: 0041,7201.50999999046,1314935.77209203,41892.1145223718,13043.6575696625,1000000,260000,-235151.491041278,-15.1702098736008,7,10,1.42857142857143,2.6,13,182,41,20,10,0.8,1,HPB,100,0.1
CIE_SA,Case: 0042,3816.64100003242,130636.371895992,21921.6957908958,6514.67610509606,100000,2200,4485.36723461907,3.55555411283418,4,10,2.5,2.2,22,108,42,10,10,0.8,1,HPB,10,0.01
